"Num_Clones" "Count" "Filename" "lib"
"253" 68 6 "10Y" "lib2"
"254" 69 2 "10Y" "lib2"
"255" 70 3 "10Y" "lib2"
"256" 71 4 "10Y" "lib2"
"257" 72 3 "10Y" "lib2"
"258" 73 3 "10Y" "lib2"
"259" 74 2 "10Y" "lib2"
"260" 75 4 "10Y" "lib2"
"261" 76 3 "10Y" "lib2"
"262" 77 1 "10Y" "lib2"
"263" 78 2 "10Y" "lib2"
"264" 79 2 "10Y" "lib2"
"265" 80 1 "10Y" "lib2"
"266" 81 1 "10Y" "lib2"
"267" 82 2 "10Y" "lib2"
"268" 86 1 "10Y" "lib2"
"269" 88 2 "10Y" "lib2"
"270" 89 1 "10Y" "lib2"
"271" 90 2 "10Y" "lib2"
"272" 92 2 "10Y" "lib2"
"273" 93 1 "10Y" "lib2"
"274" 94 1 "10Y" "lib2"
"275" 95 1 "10Y" "lib2"
"276" 97 1 "10Y" "lib2"
"277" 98 1 "10Y" "lib2"
"278" 101 1 "10Y" "lib2"
"279" 102 1 "10Y" "lib2"
"280" 105 1 "10Y" "lib2"
"281" 108 1 "10Y" "lib2"
"282" 109 1 "10Y" "lib2"
"283" 111 1 "10Y" "lib2"
"284" 112 1 "10Y" "lib2"
"285" 116 1 "10Y" "lib2"
"286" 118 1 "10Y" "lib2"
"287" 119 1 "10Y" "lib2"
"288" 124 2 "10Y" "lib2"
"289" 125 2 "10Y" "lib2"
"290" 149 1 "10Y" "lib2"
"291" 157 1 "10Y" "lib2"
"292" 233 1 "10Y" "lib2"
"293" 1 3511586 "11B" "lib1"
"294" 2 663437 "11B" "lib1"
"295" 3 300084 "11B" "lib1"
"296" 4 125318 "11B" "lib1"
"297" 5 50094 "11B" "lib1"
"298" 6 20142 "11B" "lib1"
"299" 7 8327 "11B" "lib1"
"300" 8 3755 "11B" "lib1"
"301" 9 1863 "11B" "lib1"
"302" 10 1036 "11B" "lib1"
"303" 11 667 "11B" "lib1"
"304" 12 473 "11B" "lib1"
"305" 13 339 "11B" "lib1"
"306" 14 285 "11B" "lib1"
"307" 15 219 "11B" "lib1"
"308" 16 199 "11B" "lib1"
"309" 17 168 "11B" "lib1"
"310" 18 126 "11B" "lib1"
"311" 19 122 "11B" "lib1"
"312" 20 111 "11B" "lib1"
"313" 21 76 "11B" "lib1"
"314" 22 98 "11B" "lib1"
"315" 23 81 "11B" "lib1"
"316" 24 57 "11B" "lib1"
"317" 25 43 "11B" "lib1"
"318" 26 55 "11B" "lib1"
"319" 27 49 "11B" "lib1"
"320" 28 43 "11B" "lib1"
"321" 29 25 "11B" "lib1"
"322" 30 37 "11B" "lib1"
"323" 31 40 "11B" "lib1"
"324" 32 32 "11B" "lib1"
"325" 33 27 "11B" "lib1"
"326" 34 22 "11B" "lib1"
"327" 35 11 "11B" "lib1"
"328" 36 21 "11B" "lib1"
"329" 37 25 "11B" "lib1"
"330" 38 14 "11B" "lib1"
"331" 39 22 "11B" "lib1"
"332" 40 14 "11B" "lib1"
"333" 41 17 "11B" "lib1"
"334" 42 9 "11B" "lib1"
"335" 43 10 "11B" "lib1"
"336" 44 8 "11B" "lib1"
"337" 45 11 "11B" "lib1"
"338" 46 9 "11B" "lib1"
"339" 47 6 "11B" "lib1"
"340" 48 8 "11B" "lib1"
"341" 49 9 "11B" "lib1"
"342" 50 8 "11B" "lib1"
"343" 51 10 "11B" "lib1"
"344" 52 8 "11B" "lib1"
"345" 53 9 "11B" "lib1"
"346" 54 5 "11B" "lib1"
"347" 55 9 "11B" "lib1"
"348" 56 3 "11B" "lib1"
"349" 57 4 "11B" "lib1"
"350" 58 5 "11B" "lib1"
"351" 59 2 "11B" "lib1"
"352" 60 7 "11B" "lib1"
"353" 61 5 "11B" "lib1"
"354" 62 5 "11B" "lib1"
"355" 63 4 "11B" "lib1"
"356" 64 6 "11B" "lib1"
"357" 65 5 "11B" "lib1"
"358" 66 4 "11B" "lib1"
"359" 67 3 "11B" "lib1"
"360" 68 2 "11B" "lib1"
"361" 70 4 "11B" "lib1"
"362" 71 5 "11B" "lib1"
"363" 72 4 "11B" "lib1"
"364" 73 1 "11B" "lib1"
"365" 74 3 "11B" "lib1"
"366" 75 1 "11B" "lib1"
"367" 76 1 "11B" "lib1"
"368" 77 1 "11B" "lib1"
"369" 79 4 "11B" "lib1"
"370" 80 1 "11B" "lib1"
"371" 84 1 "11B" "lib1"
"372" 85 1 "11B" "lib1"
"373" 87 1 "11B" "lib1"
"374" 88 1 "11B" "lib1"
"375" 89 1 "11B" "lib1"
"376" 90 1 "11B" "lib1"
"377" 97 1 "11B" "lib1"
